Temperature (K),Pressure (MPa),T_critical_distance,P_critical_distance,Na+,K+,Mg+2,Ca+2,SO4-2,Cl-,Dissolved CO2 (mol/kg)
353.15,12.0,49.02,4.62,1.0,0.0,0.0,0.0,0.0,1.0,0.786
423.15,4.97,119.02,-2.41,0.0,0.0,1.0,0.0,0.0,2.0,0.237
424.63,28.37,120.5,20.99,0.0,0.0,1.0,0.0,0.0,2.0,0.908308580499994
333.15,20.08,29.02,12.7,0.0,0.0,0.0,0.2,0.0,0.4,1.26
323.15,15.04,19.02,7.66,0.0,0.0,0.0,1.0,0.0,2.0,0.88
273.15,10.0,-30.98,2.62,3.0,0.0,0.0,0.0,0.0,3.0,1.007
313.14,5.206,9.01,-2.17,4.02,0.0,0.0,0.0,2.01,0.0,0.3031
353.15,23.0,49.02,15.62,3.0,0.0,0.0,0.0,0.0,3.0,0.706
323.15,15.08,19.02,7.7,0.0,0.0,3.0,0.0,0.0,6.0,0.462
283.15,10.0,-20.98,2.62,5.0,0.0,0.0,0.0,0.0,5.0,0.646
323.0,15.0,18.87,7.62,1.334,0.0,0.0,0.0,0.667,0.0,0.866
353.12,0.997,48.99,-6.38,5.999,0.0,0.0,0.0,0.0,5.999,0.0509
333.15,7.246,29.02,-0.13,2.024,0.0,0.0,0.0,1.012,0.0,0.5058
353.15,17.0,49.02,9.62,2.0,0.0,0.0,0.0,0.0,2.0,0.747
313.15,12.0,9.02,4.62,0.0,0.0,0.0,0.0,0.0,0.0,1.289
373.0,10.0,68.87,2.62,2.9856,0.0,0.0,0.6661,0.0,4.3178,0.386
313.15,21.0,9.02,13.62,0.0,0.0,0.0,0.0,0.0,0.0,1.373
433.15,10.0,129.02,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.708
323.0,10.0,18.87,2.62,1.0931,0.0188,0.0544,0.1365,0.0165,1.4607,0.843
313.27,4.43,9.14,-2.95,5.999,0.0,0.0,0.0,0.0,5.999,0.3133
374.91,34.93,70.78,27.55,0.0,0.0,1.0,0.0,0.0,2.0,0.908308580499994
323.15,2.06,19.02,-5.32,0.0,0.0,0.0,0.0,0.0,0.0,0.344051316087739
333.15,12.5,29.02,5.12,0.0,0.0,0.0,0.0,0.0,0.0,1.15
333.12,0.82,28.99,-6.56,5.999,0.0,0.0,0.0,0.0,5.999,0.0526
323.15,7.0,19.02,-0.38,1.0,0.0,0.0,0.0,0.0,1.0,0.767
303.15,26.0,-0.98,18.62,3.0,0.0,0.0,0.0,0.0,3.0,0.867
303.15,9.0,-0.98,1.62,0.0,0.0,0.0,0.0,0.0,0.0,1.341
288.15,40.0,-15.98,32.62,1.0,0.0,0.0,0.0,0.0,1.0,1.492
433.15,30.0,129.02,22.62,0.0,0.0,0.0,0.0,0.0,0.0,1.549
323.0,12.5,18.87,5.12,2.9856,0.0,0.0,0.6661,0.0,4.3178,0.578
433.1,3.298,128.97,-4.08,4.004,0.0,0.0,0.0,2.002,0.0,0.1007
333.15,8.978,29.02,1.6,2.022,0.0,0.0,0.0,1.011,0.0,0.5667
323.0,15.0,18.87,7.62,0.0,0.0,1.333,0.0,0.0,2.666,0.743
323.15,11.0,19.02,3.62,1.0,0.0,0.0,0.0,0.0,1.0,0.94
373.15,15.1,69.02,7.72,2.0,0.0,0.0,0.0,1.0,0.0,0.625
333.15,11.0,29.02,3.62,2.0,0.0,0.0,0.0,0.0,2.0,0.73
423.0,17.5,118.87,10.12,1.0931,0.0188,0.0544,0.1365,0.0165,1.4607,0.777
353.15,10.0,49.02,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.887
323.15,1.805,19.02,-5.57,2.028,0.0,0.0,0.0,1.014,0.0,0.1793
313.12,0.824,8.99,-6.55,2.026,0.0,0.0,0.0,1.013,0.0,0.1022
313.15,3.5,9.02,-3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.697
433.15,9.054,129.02,1.68,2.026,0.0,0.0,0.0,1.013,0.0,0.401
333.15,15.0,29.02,7.62,3.0,0.0,0.0,0.0,0.0,3.0,0.685
313.15,7.0,9.02,-0.38,0.0,0.0,0.0,0.0,0.0,0.0,1.099
313.15,23.0,9.02,15.62,2.0,0.0,0.0,0.0,0.0,2.0,0.93
353.15,8.007,49.02,0.63,2.022,0.0,0.0,0.0,1.011,0.0,0.4517
493.15,20.0,189.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.434
373.15,10.04,69.02,2.66,0.0,0.0,0.0,3.0,0.0,6.0,0.32
313.31,0.602,9.18,-6.78,5.999,0.0,0.0,0.0,0.0,5.999,0.0517
278.15,20.0,-25.98,12.62,1.0,0.0,0.0,0.0,0.0,1.0,1.509
323.0,15.0,18.87,7.62,2.9856,0.0,0.0,0.6661,0.0,4.3178,0.6
424.33,10.34,120.2,2.96,0.0,0.0,5.0,0.0,0.0,10.0,0.127963575130506
343.15,8.5,39.02,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.886
313.15,20.0,9.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.365
433.15,30.0,129.02,22.62,1.0,0.0,0.0,0.0,0.0,1.0,1.23
343.15,23.0,39.02,15.62,3.0,0.0,0.0,0.0,0.0,3.0,0.724
453.15,20.0,149.02,12.62,1.0,0.0,0.0,0.0,0.0,1.0,0.99
278.15,40.0,-25.98,32.62,5.0,0.0,0.0,0.0,0.0,5.0,0.801
373.1,19.14,68.97,11.76,1.0,0.0,0.0,0.0,0.0,1.0,0.908309588875751
309.59,26.0,5.46,18.62,0.0,0.0,0.0,3.0,0.0,6.0,0.453289469552252
373.0,15.0,68.87,7.62,0.0,4.5,0.0,0.0,0.0,4.5,0.657
323.15,5.11,19.02,-2.27,3.996,0.0,0.0,0.0,1.998,0.0,0.26
343.15,8.0,39.02,0.62,2.0,0.0,0.0,0.0,0.0,2.0,0.558
423.0,15.0,118.87,7.62,0.0,0.5,0.0,0.0,0.0,0.5,0.881
303.15,17.5,-0.98,10.12,0.0,0.0,0.0,0.0,0.0,0.0,1.437
433.05,8.981,128.92,1.6,5.999,0.0,0.0,0.0,0.0,5.999,0.2743
433.15,40.0,129.02,32.62,3.0,0.0,0.0,0.0,0.0,3.0,0.966
323.15,17.5,19.02,10.12,0.0,0.0,0.0,0.0,0.0,0.0,1.277
323.15,8.0,19.02,0.62,2.0,0.0,0.0,0.0,0.0,2.0,0.694
323.1,14.38,18.97,7.0,1.0,0.0,0.0,0.0,0.0,1.0,1.00020289177819
353.15,30.0,49.02,22.62,3.0,0.0,0.0,0.0,0.0,3.0,0.781
309.52,31.02,5.39,23.64,0.0,0.0,5.0,0.0,0.0,10.0,0.312597436900187
298.15,4.08,-5.98,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.06355338275753
309.58,1.25,5.45,-6.13,0.0,0.0,1.0,0.0,0.0,2.0,0.211736417451221
283.15,30.0,-20.98,22.62,3.0,0.0,0.0,0.0,0.0,3.0,1.058
323.15,12.5,19.02,5.12,0.0,0.0,0.0,0.0,0.0,0.0,1.222
313.15,30.0,9.02,22.62,2.0,0.0,0.0,0.0,0.0,2.0,0.972
344.98,31.2,40.85,23.82,0.0,0.0,5.0,0.0,0.0,10.0,0.262121325388552
393.15,9.372,89.02,1.99,2.022,0.0,0.0,0.0,1.011,0.0,0.4286
323.15,15.01,19.02,7.63,0.0,0.0,0.0,1.0,0.0,2.0,0.885
333.15,40.02,29.02,32.64,0.0,0.0,0.0,0.2,0.0,0.4,1.45
433.15,40.0,129.02,32.62,1.0,0.0,0.0,0.0,0.0,1.0,1.425
288.15,10.0,-15.98,2.62,1.0,0.0,0.0,0.0,0.0,1.0,1.267
333.15,6.5,29.02,-0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.812
373.15,10.0,69.02,2.62,3.0,0.0,0.0,0.0,0.0,3.0,0.467
373.0,15.0,68.87,7.62,0.0,0.0,0.0,1.0,0.0,2.0,0.683
333.15,39.97,29.02,32.59,1.2,0.0,0.0,0.0,0.0,1.2,1.13
323.15,5.07,19.02,-2.31,1.0,0.0,0.0,0.0,0.0,1.0,0.62
323.0,15.0,18.87,7.62,0.0,0.0,1.667,0.0,0.0,3.334,0.671
343.15,13.0,39.02,5.62,3.0,0.0,0.0,0.0,0.0,3.0,0.62
333.2,6.06,29.07,-1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.776735351706276
353.15,20.0,49.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.198
413.15,90.0,109.02,82.62,0.0,0.0,0.0,0.0,0.0,0.0,2.299
313.15,3.0,9.02,-4.38,1.0,0.0,0.0,0.0,0.0,1.0,0.498
333.15,10.0,29.02,2.62,1.0,0.0,0.0,0.0,0.0,1.0,0.835
303.15,13.0,-0.98,5.62,1.0,0.0,0.0,0.0,0.0,1.0,1.119
373.15,10.12,69.02,2.74,0.0,0.0,3.0,0.0,0.0,6.0,0.299
344.8,3.93,40.67,-3.45,0.0,0.0,0.0,3.0,0.0,6.0,0.178197025483574
303.15,6.0,-0.98,-1.38,0.0,0.0,0.0,0.0,0.0,0.0,1.205
323.0,15.0,18.87,7.62,0.0,0.0,0.0,1.333,0.0,2.666,0.746
353.15,6.5,49.02,-0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.669
309.7,4.54,5.57,-2.84,0.0,0.0,0.0,5.0,0.0,10.0,0.172611051919162
373.15,15.34,69.02,7.96,0.0,0.0,3.0,0.0,0.0,6.0,0.382
393.12,9.135,88.99,1.76,5.999,0.0,0.0,0.0,0.0,5.999,0.3049
373.0,17.5,68.87,10.12,2.9858,0.0222,0.2535,0.3937,0.0001,4.3022,0.506
283.15,50.0,-20.98,42.62,0.0,0.0,0.0,0.0,0.0,0.0,2.109
374.84,4.95,70.71,-2.43,0.0,0.0,3.0,0.0,0.0,6.0,0.183784119941647
313.12,0.422,8.99,-6.96,2.026,0.0,0.0,0.0,1.013,0.0,0.0511
333.15,10.01,29.02,2.63,1.2,0.0,0.0,0.0,0.0,1.2,0.87
373.1,5.04,68.97,-2.34,3.0,0.0,0.0,0.0,0.0,3.0,0.239717054098328
343.15,23.0,39.02,15.62,1.0,0.0,0.0,0.0,0.0,1.0,1.001
298.15,30.0,-5.98,22.62,1.0,0.0,0.0,0.0,0.0,1.0,1.313
313.15,30.0,9.02,22.62,0.0,0.0,0.0,0.0,0.0,0.0,1.446
393.15,10.0,89.02,2.62,3.0,0.0,0.0,0.0,0.0,3.0,0.433
413.09,3.195,108.96,-4.18,5.999,0.0,0.0,0.0,0.0,5.999,0.1024
423.0,15.0,118.87,7.62,0.0,0.0,2.0,0.0,0.0,4.0,0.43
343.9,2.04,39.77,-5.34,0.0,0.0,1.0,0.0,0.0,2.0,0.189372335630797
393.13,8.864,89.0,1.49,4.004,0.0,0.0,0.0,2.002,0.0,0.2778
343.15,15.5,39.02,8.12,0.0,0.0,0.0,0.0,0.0,0.0,1.13
323.2,7.08,19.07,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.994450791009303
313.15,13.0,9.02,5.62,1.0,0.0,0.0,0.0,0.0,1.0,1.031
413.15,8.942,109.02,1.56,2.022,0.0,0.0,0.0,1.011,0.0,0.403
323.15,29.99,19.02,22.61,1.0,0.0,0.0,0.0,0.0,1.0,1.13
323.2,9.09,19.07,1.71,0.0,0.0,0.0,0.0,0.0,0.0,1.13282520534269
343.15,4.0,39.02,-3.38,2.0,0.0,0.0,0.0,0.0,2.0,0.347
309.63,6.59,5.5,-0.79,0.0,0.0,0.0,3.0,0.0,6.0,0.436368990946824
303.15,9.0,-0.98,1.62,2.0,0.0,0.0,0.0,0.0,2.0,0.879
310.86,7.309,6.73,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.14265243480639
374.88,37.38,70.75,30.0,0.0,0.0,0.0,1.0,0.0,2.0,0.908308580499994
313.15,60.0,9.02,52.62,0.0,0.0,0.0,0.0,0.0,0.0,1.753
323.15,20.01,19.02,12.63,0.0,0.0,3.0,0.0,0.0,6.0,0.494
375.02,20.58,70.89,13.2,0.0,0.0,5.0,0.0,0.0,10.0,0.228521268296361
