Temperature (K),Pressure (MPa),T_critical_distance,P_critical_distance,Na+,K+,Mg+2,Ca+2,SO4-2,Cl-,Dissolved CO2 (mol/kg)
323.15,10.14,19.02,2.76,0.0,0.0,1.0,0.0,0.0,2.0,0.777
323.15,15.04,19.02,7.66,0.0,0.0,1.0,0.0,0.0,2.0,0.84
323.15,20.13,19.02,12.75,0.0,0.0,1.0,0.0,0.0,2.0,0.899
373.15,1.6,69.02,-5.78,0.0,0.0,1.0,0.0,0.0,2.0,0.109
373.15,3.05,69.02,-4.33,0.0,0.0,1.0,0.0,0.0,2.0,0.198
373.15,5.04,69.02,-2.34,0.0,0.0,1.0,0.0,0.0,2.0,0.31
373.15,10.17,69.02,2.79,0.0,0.0,1.0,0.0,0.0,2.0,0.55
373.15,15.2,69.02,7.82,0.0,0.0,1.0,0.0,0.0,2.0,0.685
373.15,20.18,69.02,12.8,0.0,0.0,1.0,0.0,0.0,2.0,0.769
423.15,2.98,119.02,-4.4,0.0,0.0,1.0,0.0,0.0,2.0,0.14
423.15,4.97,119.02,-2.41,0.0,0.0,1.0,0.0,0.0,2.0,0.237
423.15,10.11,119.02,2.73,0.0,0.0,1.0,0.0,0.0,2.0,0.453
423.15,15.08,119.02,7.7,0.0,0.0,1.0,0.0,0.0,2.0,0.619
423.15,20.02,119.02,12.64,0.0,0.0,1.0,0.0,0.0,2.0,0.753
323.15,5.03,19.02,-2.35,0.0,0.0,3.0,0.0,0.0,6.0,0.303
323.15,10.3,19.02,2.92,0.0,0.0,3.0,0.0,0.0,6.0,0.417
323.15,15.08,19.02,7.7,0.0,0.0,3.0,0.0,0.0,6.0,0.462
323.15,20.01,19.02,12.63,0.0,0.0,3.0,0.0,0.0,6.0,0.494
373.15,5.05,69.02,-2.33,0.0,0.0,3.0,0.0,0.0,6.0,0.18
373.15,10.12,69.02,2.74,0.0,0.0,3.0,0.0,0.0,6.0,0.299
373.15,15.34,69.02,7.96,0.0,0.0,3.0,0.0,0.0,6.0,0.382
373.15,20.29,69.02,12.91,0.0,0.0,3.0,0.0,0.0,6.0,0.42
423.15,5.06,119.02,-2.32,0.0,0.0,3.0,0.0,0.0,6.0,0.132
