Temperature (K),Pressure (MPa),Na+,K+,Mg+2,Ca+2,SO4-2,Cl-,Dissolved CO2 (mol/kg)
471.5,125.0857125,2.9311,0.0,0.0,0.0,0.0,2.9311,1.8498
471.5,132.42164250000002,2.9311,0.0,0.0,0.0,0.0,2.9311,1.905
471.5,140.2034025,2.9311,0.0,0.0,0.0,0.0,2.9311,1.963
471.5,148.4512575,2.9311,0.0,0.0,0.0,0.0,2.9311,2.0238
512.29,0.0,1.8326,0.0,0.0,0.0,0.0,1.8326,0.0
512.29,3.0926416499999996,1.8326,0.0,0.0,0.0,0.0,1.8326,0.0
512.29,4.773116775,1.8326,0.0,0.0,0.0,0.0,1.8326,0.10744
512.29,6.4454859,1.8326,0.0,0.0,0.0,0.0,1.8326,0.20816
512.29,8.1116742,1.8326,0.0,0.0,0.0,0.0,1.8326,0.30286
512.29,9.774113475,1.8326,0.0,0.0,0.0,0.0,1.8326,0.39212
512.29,11.43655275,1.8326,0.0,0.0,0.0,0.0,1.8326,0.47645
512.29,13.1013225,1.8326,0.0,0.0,0.0,0.0,1.8326,0.55635
512.29,14.773185000000002,1.8326,0.0,0.0,0.0,0.0,1.8326,0.6323
512.29,16.457206499999998,1.8326,0.0,0.0,0.0,0.0,1.8326,0.70473
512.29,18.156426749999998,1.8326,0.0,0.0,0.0,0.0,1.8326,0.77405
512.29,19.87692525,1.8326,0.0,0.0,0.0,0.0,1.8326,0.84064
512.29,21.623768249999998,1.8326,0.0,0.0,0.0,0.0,1.8326,0.90485
512.29,23.402022,1.8326,0.0,0.0,0.0,0.0,1.8326,0.96702
512.29,25.217765999999997,1.8326,0.0,0.0,0.0,0.0,1.8326,1.0274
512.29,27.078093,1.8326,0.0,0.0,0.0,0.0,1.8326,1.0864
512.29,28.987056,1.8326,0.0,0.0,0.0,0.0,1.8326,1.1442
512.29,30.952761000000002,1.8326,0.0,0.0,0.0,0.0,1.8326,1.201
512.29,32.9812875,1.8326,0.0,0.0,0.0,0.0,1.8326,1.2571
512.29,35.078714999999995,1.8326,0.0,0.0,0.0,0.0,1.8326,1.3127
512.29,37.25416275,1.8326,0.0,0.0,0.0,0.0,1.8326,1.3681
512.29,39.51371025,1.8326,0.0,0.0,0.0,0.0,1.8326,1.4234
512.29,41.863437000000005,1.8326,0.0,0.0,0.0,0.0,1.8326,1.4788
512.29,44.312462249999996,1.8326,0.0,0.0,0.0,0.0,1.8326,1.5345
