Temperature (K),Pressure (MPa),Na+,K+,Mg+2,Ca+2,SO4-2,Cl-,Dissolved CO2 (mol/kg)
325.16,11.129538,2.7725,0.0,0.0,0.0,0.0,2.7725,0.71256
325.16,11.41628775,2.7725,0.0,0.0,0.0,0.0,2.7725,0.7173
325.16,11.72836875,2.7725,0.0,0.0,0.0,0.0,2.7725,0.72213
325.16,12.0718605,2.7725,0.0,0.0,0.0,0.0,2.7725,0.72712
325.16,12.45588225,2.7725,0.0,0.0,0.0,0.0,2.7725,0.73233
325.16,12.886513500000001,2.7725,0.0,0.0,0.0,0.0,2.7725,0.73781
325.16,13.37186025,2.7725,0.0,0.0,0.0,0.0,2.7725,0.74362
325.16,13.919015250000001,2.7725,0.0,0.0,0.0,0.0,2.7725,0.74979
325.16,14.53912425,2.7725,0.0,0.0,0.0,0.0,2.7725,0.75635
325.16,15.240293249999999,2.7725,0.0,0.0,0.0,0.0,2.7725,0.76334
325.16,16.0316415,2.7725,0.0,0.0,0.0,0.0,2.7725,0.77078
325.16,16.925328,2.7725,0.0,0.0,0.0,0.0,2.7725,0.77869
325.16,17.93351175,2.7725,0.0,0.0,0.0,0.0,2.7725,0.78711
325.16,19.0673385,2.7725,0.0,0.0,0.0,0.0,2.7725,0.79604
325.16,20.342007,2.7725,0.0,0.0,0.0,0.0,2.7725,0.8055
325.16,21.77170275,2.7725,0.0,0.0,0.0,0.0,2.7725,0.81551
325.16,23.373651,2.7725,0.0,0.0,0.0,0.0,2.7725,0.82608
325.16,25.165077,2.7725,0.0,0.0,0.0,0.0,2.7725,0.83722
325.16,27.16624575,2.7725,0.0,0.0,0.0,0.0,2.7725,0.84894
325.16,29.400462,2.7725,0.0,0.0,0.0,0.0,2.7725,0.86124
325.16,31.89001725,2.7725,0.0,0.0,0.0,0.0,2.7725,0.87413
325.16,34.6632825,2.7725,0.0,0.0,0.0,0.0,2.7725,0.88761
325.16,37.75065525,2.7725,0.0,0.0,0.0,0.0,2.7725,0.90167
325.16,41.18557275,2.7725,0.0,0.0,0.0,0.0,2.7725,0.91631
325.16,45.00755175,2.7725,0.0,0.0,0.0,0.0,2.7725,0.93151
325.16,49.25712225,2.7725,0.0,0.0,0.0,0.0,2.7725,0.94725
325.16,53.98494675,2.7725,0.0,0.0,0.0,0.0,2.7725,0.96351
325.16,59.24574075,2.7725,0.0,0.0,0.0,0.0,2.7725,0.98024
325.16,65.10435224999999,2.7725,0.0,0.0,0.0,0.0,2.7725,0.99742
325.16,71.63170875,2.7725,0.0,0.0,0.0,0.0,2.7725,1.015
325.16,78.9139365,2.7725,0.0,0.0,0.0,0.0,2.7725,1.0328
325.16,87.04932075,2.7725,0.0,0.0,0.0,0.0,2.7725,1.0509
325.16,96.15235875,2.7725,0.0,0.0,0.0,0.0,2.7725,1.0691
325.16,106.36085250000001,2.7725,0.0,0.0,0.0,0.0,2.7725,1.0873
325.16,117.840975,2.7725,0.0,0.0,0.0,0.0,2.7725,1.1052
325.16,130.77004499999998,2.7725,0.0,0.0,0.0,0.0,2.7725,1.1228
325.16,145.4115075,2.7725,0.0,0.0,0.0,0.0,2.7725,1.1397
510.58,0.0,4.0396,0.0,0.0,0.0,0.0,4.0396,0.0
510.58,2.7535068750000002,4.0396,0.0,0.0,0.0,0.0,4.0396,0.0
510.58,4.53794145,4.0396,0.0,0.0,0.0,0.0,4.0396,0.080028
510.58,6.3072786,4.0396,0.0,0.0,0.0,0.0,4.0396,0.15377
510.58,8.063747475,4.0396,0.0,0.0,0.0,0.0,4.0396,0.22204
510.58,9.8110971,4.0396,0.0,0.0,0.0,0.0,4.0396,0.28545
510.58,11.5530765,4.0396,0.0,0.0,0.0,0.0,4.0396,0.34454
510.58,13.295866499999999,4.0396,0.0,0.0,0.0,0.0,4.0396,0.39981
510.58,15.04169625,4.0396,0.0,0.0,0.0,0.0,4.0396,0.45172
510.58,16.79867175,4.0396,0.0,0.0,0.0,0.0,4.0396,0.50067
510.58,18.570846,4.0396,0.0,0.0,0.0,0.0,4.0396,0.54703
510.58,20.3642985,4.0396,0.0,0.0,0.0,0.0,4.0396,0.59113
510.58,22.185108749999998,4.0396,0.0,0.0,0.0,0.0,4.0396,0.63326
510.58,24.040369499999997,4.0396,0.0,0.0,0.0,0.0,4.0396,0.6737
510.58,25.935147,4.0396,0.0,0.0,0.0,0.0,4.0396,0.71268
510.58,27.8785605,4.0396,0.0,0.0,0.0,0.0,4.0396,0.75043
510.58,29.87567625,4.0396,0.0,0.0,0.0,0.0,4.0396,0.78714
510.58,31.934600250000003,4.0396,0.0,0.0,0.0,0.0,4.0396,0.82299
510.58,34.0634385,4.0396,0.0,0.0,0.0,0.0,4.0396,0.85816
510.58,36.270297,4.0396,0.0,0.0,0.0,0.0,4.0396,0.89279
510.58,38.56125525,4.0396,0.0,0.0,0.0,0.0,4.0396,0.92704
510.58,40.947459,4.0396,0.0,0.0,0.0,0.0,4.0396,0.96104
510.58,43.43498775,4.0396,0.0,0.0,0.0,0.0,4.0396,0.99492
510.58,46.033974,4.0396,0.0,0.0,0.0,0.0,4.0396,1.0288
510.58,48.75455025,4.0396,0.0,0.0,0.0,0.0,4.0396,1.0628
510.58,51.603809250000005,4.0396,0.0,0.0,0.0,0.0,4.0396,1.0971
510.58,54.592896749999994,4.0396,0.0,0.0,0.0,0.0,4.0396,1.1317
510.58,57.730931999999996,4.0396,0.0,0.0,0.0,0.0,4.0396,1.1668
510.58,61.02804749999999,4.0396,0.0,0.0,0.0,0.0,4.0396,1.2025
510.58,64.495389,4.0396,0.0,0.0,0.0,0.0,4.0396,1.2389
510.58,68.143089,4.0396,0.0,0.0,0.0,0.0,4.0396,1.2762
510.58,71.98128,4.0396,0.0,0.0,0.0,0.0,4.0396,1.3144
510.58,76.02110775,4.0396,0.0,0.0,0.0,0.0,4.0396,1.3538
510.58,80.27473125,4.0396,0.0,0.0,0.0,0.0,4.0396,1.3944
510.58,84.75329625,4.0396,0.0,0.0,0.0,0.0,4.0396,1.4363
510.58,89.4679485,4.0396,0.0,0.0,0.0,0.0,4.0396,1.4798
510.58,94.430847,4.0396,0.0,0.0,0.0,0.0,4.0396,1.525
510.58,99.655164,4.0396,0.0,0.0,0.0,0.0,4.0396,1.5721
510.58,105.155085,4.0396,0.0,0.0,0.0,0.0,4.0396,1.6211
510.58,110.94074250000001,4.0396,0.0,0.0,0.0,0.0,4.0396,1.6723
510.58,117.02024250000001,4.0396,0.0,0.0,0.0,0.0,4.0396,1.7259
510.58,123.41385,4.0396,0.0,0.0,0.0,0.0,4.0396,1.7822
510.58,130.1316975,4.0396,0.0,0.0,0.0,0.0,4.0396,1.8412
510.58,137.19405,4.0396,0.0,0.0,0.0,0.0,4.0396,1.9032
510.58,144.61104,4.0396,0.0,0.0,0.0,0.0,4.0396,1.9685
286.96,0.0,1.4777,0.0,0.0,0.0,0.0,1.4777,0.0
286.96,0.001518355125,1.4777,0.0,0.0,0.0,0.0,1.4777,0.0
286.96,0.6352570875,1.4777,0.0,0.0,0.0,0.0,1.4777,0.2234
286.96,1.265042625,1.4777,0.0,0.0,0.0,0.0,1.4777,0.42368
286.96,1.8822132,1.4777,0.0,0.0,0.0,0.0,1.4777,0.6001
286.96,2.477497575,1.4777,0.0,0.0,0.0,0.0,1.4777,0.75239
286.96,3.040864575,1.4777,0.0,0.0,0.0,0.0,1.4777,0.88089
286.96,3.56238435,1.4777,0.0,0.0,0.0,0.0,1.4777,0.98665
286.96,4.033038974999999,1.4777,0.0,0.0,0.0,0.0,1.4777,1.0714
286.96,4.44553305,1.4777,0.0,0.0,0.0,0.0,1.4777,1.1371
286.96,4.794800325,1.4777,0.0,0.0,0.0,0.0,1.4777,1.1865
286.96,5.0776997249999996,1.4777,0.0,0.0,0.0,0.0,1.4777,1.222
286.96,5.2938259500000004,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2461
286.96,5.444496225,1.4777,0.0,0.0,0.0,0.0,1.4777,1.261
286.96,5.5327503,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2688
286.96,5.562641175,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2712
286.96,5.56253985,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2712
286.96,5.562235875,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2708
286.96,5.562033225,1.4777,0.0,0.0,0.0,0.0,1.4777,1.27
286.96,5.56172925,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2687
286.96,5.561425275,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2669
286.96,5.5611213,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2646
286.96,5.560817325,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2619
286.96,5.56051335,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2588
286.96,5.56010805,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2554
286.96,5.55970275,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2517
286.96,5.559398775,1.4777,0.0,0.0,0.0,0.0,1.4777,1.248
286.96,5.55889215,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2441
286.96,5.5584868499999995,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2401
286.96,5.55808155,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2362
286.96,5.557574925,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2324
286.96,5.557169625,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2287
286.96,5.556663,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2252
286.96,5.556156375,1.4777,0.0,0.0,0.0,0.0,1.4777,1.222
286.96,5.555548425,1.4777,0.0,0.0,0.0,0.0,1.4777,1.219
286.96,5.5550418,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2164
286.96,5.55443385,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2141
286.96,5.553927225,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2123
286.96,5.553319275,1.4777,0.0,0.0,0.0,0.0,1.4777,1.211
286.96,5.552711325,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2101
286.96,5.647146224999999,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2109
286.96,6.5431631999999995,1.4777,0.0,0.0,0.0,0.0,1.4777,1.22
286.96,7.611635324999999,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2302
286.96,8.87140905,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2414
286.96,10.34426925,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2538
286.96,12.0515955,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2672
286.96,14.022366749999998,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2816
286.96,16.28394075,1.4777,0.0,0.0,0.0,0.0,1.4777,1.2971
286.96,18.8687415,1.4777,0.0,0.0,0.0,0.0,1.4777,1.3136
286.96,21.815272500000003,1.4777,0.0,0.0,0.0,0.0,1.4777,1.3311
286.96,25.165077,1.4777,0.0,0.0,0.0,0.0,1.4777,1.3494
286.96,28.96577775,1.4777,0.0,0.0,0.0,0.0,1.4777,1.3687
286.96,33.27209025,1.4777,0.0,0.0,0.0,0.0,1.4777,1.3887
286.96,38.1488625,1.4777,0.0,0.0,0.0,0.0,1.4777,1.4094
286.96,43.66803525,1.4777,0.0,0.0,0.0,0.0,1.4777,1.4307
286.96,49.91573475,1.4777,0.0,0.0,0.0,0.0,1.4777,1.4525
286.96,56.9953125,1.4777,0.0,0.0,0.0,0.0,1.4777,1.4744
286.96,65.02734525,1.4777,0.0,0.0,0.0,0.0,1.4777,1.4963
286.96,74.157741,1.4777,0.0,0.0,0.0,0.0,1.4777,1.518
286.96,84.56280525,1.4777,0.0,0.0,0.0,0.0,1.4777,1.5389
286.96,96.46241325,1.4777,0.0,0.0,0.0,0.0,1.4777,1.5588
286.96,110.1301425,1.4777,0.0,0.0,0.0,0.0,1.4777,1.5769
286.96,125.9165775,1.4777,0.0,0.0,0.0,0.0,1.4777,1.5925
286.96,144.266535,1.4777,0.0,0.0,0.0,0.0,1.4777,1.6046
331.95,0.0,4.2656,0.0,0.0,0.0,0.0,4.2656,0.0
331.95,0.015762117,4.2656,0.0,0.0,0.0,0.0,4.2656,0.0
331.95,1.1062663499999998,4.2656,0.0,0.0,0.0,0.0,4.2656,0.086996
331.95,2.133803175,4.2656,0.0,0.0,0.0,0.0,4.2656,0.16091
331.95,3.0948708,4.2656,0.0,0.0,0.0,0.0,4.2656,0.22334
331.95,3.9883546500000002,4.2656,0.0,0.0,0.0,0.0,4.2656,0.27574
331.95,4.814457375,4.2656,0.0,0.0,0.0,0.0,4.2656,0.31953
331.95,5.574800175,4.2656,0.0,0.0,0.0,0.0,4.2656,0.35598
331.95,6.272118825000001,4.2656,0.0,0.0,0.0,0.0,4.2656,0.38627
331.95,6.9099597,4.2656,0.0,0.0,0.0,0.0,4.2656,0.41142
331.95,7.492781099999999,4.2656,0.0,0.0,0.0,0.0,4.2656,0.43232
331.95,8.025243975,4.2656,0.0,0.0,0.0,0.0,4.2656,0.44972
331.95,8.512414575,4.2656,0.0,0.0,0.0,0.0,4.2656,0.46426
331.95,8.95976445,4.2656,0.0,0.0,0.0,0.0,4.2656,0.47648
331.95,9.372663825,4.2656,0.0,0.0,0.0,0.0,4.2656,0.48683
331.95,9.756584250000001,4.2656,0.0,0.0,0.0,0.0,4.2656,0.49569
331.95,10.117402575,4.2656,0.0,0.0,0.0,0.0,4.2656,0.50335
331.95,10.460792999999999,4.2656,0.0,0.0,0.0,0.0,4.2656,0.51008
331.95,10.79212575,4.2656,0.0,0.0,0.0,0.0,4.2656,0.51609
331.95,11.117379,4.2656,0.0,0.0,0.0,0.0,4.2656,0.52156
331.95,11.44263225,4.2656,0.0,0.0,0.0,0.0,4.2656,0.52664
331.95,11.772951749999999,4.2656,0.0,0.0,0.0,0.0,4.2656,0.53145
331.95,12.116443499999999,4.2656,0.0,0.0,0.0,0.0,4.2656,0.53609
331.95,12.4771605,4.2656,0.0,0.0,0.0,0.0,4.2656,0.54065
331.95,12.8621955,4.2656,0.0,0.0,0.0,0.0,4.2656,0.54521
331.95,13.2796545,4.2656,0.0,0.0,0.0,0.0,4.2656,0.54982
331.95,13.734603750000002,4.2656,0.0,0.0,0.0,0.0,4.2656,0.55454
331.95,14.235149250000001,4.2656,0.0,0.0,0.0,0.0,4.2656,0.55942
331.95,14.789397000000001,4.2656,0.0,0.0,0.0,0.0,4.2656,0.56449
331.95,15.405453,4.2656,0.0,0.0,0.0,0.0,4.2656,0.56978
331.95,16.09142325,4.2656,0.0,0.0,0.0,0.0,4.2656,0.57534
331.95,16.85744025,4.2656,0.0,0.0,0.0,0.0,4.2656,0.58118
331.95,17.71262325,4.2656,0.0,0.0,0.0,0.0,4.2656,0.58733
331.95,18.668118,4.2656,0.0,0.0,0.0,0.0,4.2656,0.59381
331.95,19.7360835,4.2656,0.0,0.0,0.0,0.0,4.2656,0.60063
331.95,20.9276655,4.2656,0.0,0.0,0.0,0.0,4.2656,0.60782
331.95,22.258062749999997,4.2656,0.0,0.0,0.0,0.0,4.2656,0.61538
331.95,23.740447500000002,4.2656,0.0,0.0,0.0,0.0,4.2656,0.62333
331.95,25.39305825,4.2656,0.0,0.0,0.0,0.0,4.2656,0.63169
331.95,27.23312025,4.2656,0.0,0.0,0.0,0.0,4.2656,0.64046
331.95,29.278871999999996,4.2656,0.0,0.0,0.0,0.0,4.2656,0.64964
331.95,31.553618250000003,4.2656,0.0,0.0,0.0,0.0,4.2656,0.65925
331.95,34.08066375,4.2656,0.0,0.0,0.0,0.0,4.2656,0.66929
331.95,36.88736625,4.2656,0.0,0.0,0.0,0.0,4.2656,0.67976
331.95,40.00311,4.2656,0.0,0.0,0.0,0.0,4.2656,0.69066
331.95,43.460319,4.2656,0.0,0.0,0.0,0.0,4.2656,0.70198
331.95,47.29851,4.2656,0.0,0.0,0.0,0.0,4.2656,0.71372
331.95,51.557199749999995,4.2656,0.0,0.0,0.0,0.0,4.2656,0.72587
331.95,56.2860375,4.2656,0.0,0.0,0.0,0.0,4.2656,0.73841
331.95,61.538725500000005,4.2656,0.0,0.0,0.0,0.0,4.2656,0.75131
